venue.id,mean,sd,park_effect,park_effect_halved,park_effect_p_1sd,park_effect_m_1sd,park_effect_halved_m_1sd,park_effect_halved_p_1sd,venue.name,years,level,year,teams.home.team.id,teams.home.team.name,level_num
4209,5.411301426467395,1.8064277805728228,159,129,197,120,110,148,Baseball Park,1,Winter League,2017,4068,Perth Heat,17
4209,5.411301426467395,1.8064277805728228,159,129,197,120,110,148,Perth Harley-Davidson Ballpark,1,Winter League,2017,4068,Perth Heat,17
2799,4.898165808297415,0.5319535051848663,159,129,171,146,123,136,The Hangar,1,Class A Advanced,2019,491,Lancaster JetHawks,13
2799,4.945474415967176,0.3365796666915419,157,129,165,150,125,132,The Hangar,4,Class A Advanced,2019,491,Lancaster JetHawks,13
2799,4.894430402298159,0.3130656126349543,157,129,164,150,125,132,The Hangar,5,Class A Advanced,2019,491,Lancaster JetHawks,13
2799,4.905298393835654,1.2297986699134345,156,128,184,129,114,142,The Hangar,2,Class A Advanced,2017,491,Lancaster JetHawks,13
2799,4.792547933219866,1.1646298168630087,156,128,182,129,115,141,The Hangar,3,Class A Advanced,2017,491,Lancaster JetHawks,13
5321,5.4612113532231366,1.6137860164672546,156,128,189,124,112,145,Estadio Francisco Villa,1,Triple-A,2018,4444,Generales de Durango,11
2799,4.795047746125911,1.0009456992942554,156,128,178,133,116,139,The Hangar,3,Class A Advanced,2019,491,Lancaster JetHawks,13
2799,4.653227164625342,1.1852601966863399,154,127,182,127,114,141,The Hangar,2,Class A Advanced,2016,491,Lancaster JetHawks,13
2799,4.686323704192015,1.160704172846965,154,127,181,128,114,140,The Hangar,4,Class A Advanced,2018,491,Lancaster JetHawks,13
2799,4.65267059411621,0.5990892350716603,153,127,167,140,120,133,The Hangar,1,Class A Advanced,2017,491,Lancaster JetHawks,13
5321,5.034103913424404,0.45464539998501996,153,126,162,143,122,131,Estadio Francisco Villa,2,Triple-A,2018,4444,Generales de Durango,11
2799,4.681801351925031,1.150216314029994,153,127,179,128,114,140,The Hangar,3,Class A Advanced,2018,491,Lancaster JetHawks,13
2799,4.522637458958306,1.0128453240170878,153,126,176,130,115,138,The Hangar,2,Class A Advanced,2019,491,Lancaster JetHawks,13
2799,4.427739003085458,0.9649480528905096,151,126,173,129,115,136,The Hangar,4,Class A Advanced,2017,491,Lancaster JetHawks,13
2799,4.493075665108892,1.0098309848482745,151,126,174,129,114,137,The Hangar,5,Class A Advanced,2017,491,Lancaster JetHawks,13
2799,4.438046170852799,1.0211687826301146,151,126,174,128,114,137,The Hangar,5,Class A Advanced,2018,491,Lancaster JetHawks,13
2799,4.482636485614199,0.47711626220193765,150,125,161,140,120,130,The Hangar,1,Class A Advanced,2016,491,Lancaster JetHawks,13
2799,4.359973644299247,1.032027608220195,150,125,173,127,113,136,The Hangar,4,Class A Advanced,2016,491,Lancaster JetHawks,13
2799,4.3963558485377945,0.45638575121252134,150,125,160,140,120,130,The Hangar,2,Class A Advanced,2018,491,Lancaster JetHawks,13
2527,5.023149343366956,1.9298572166276895,149,125,186,112,106,143,Parque Foro Sol,1,Triple-A,2011,532,Diablos Rojos del Mexico,11
2799,4.101611556453086,0.9736362905041174,147,124,169,125,113,135,The Hangar,3,Class A Advanced,2016,491,Lancaster JetHawks,13
2527,4.397636218059755,0.575377114052763,146,123,157,134,117,129,Parque Foro Sol,1,Triple-A,2013,532,Diablos Rojos del Mexico,11
2527,4.506301632685232,0.43231552095163295,146,123,154,137,119,127,Parque Foro Sol,3,Triple-A,2013,532,Diablos Rojos del Mexico,11
2799,3.751538768002262,0.4239305890083085,146,123,156,135,118,128,The Hangar,1,Class A Advanced,2015,491,Lancaster JetHawks,13
5321,4.702804883654377,0.43288548183605846,146,123,154,137,119,127,Estadio Francisco Villa,3,Triple-A,2019,4444,Generales de Durango,11
2859,3.819469481745714,1.4749870090560775,145,122,178,111,105,139,Volcanoes Stadium,1,Class A Short Season,2016,578,Salem-Keizer Volcanoes,15
5321,4.768141448431066,0.4886370101191719,145,122,154,136,118,127,Estadio Francisco Villa,2,Triple-A,2019,4444,Generales de Durango,11
2683,4.322713783462035,1.5480147018673192,144,122,174,113,106,137,Isotopes Park,1,Triple-A,2010,342,Albuquerque Isotopes,11
2956,4.44380920446282,0.6156878367321162,144,122,155,132,116,128,Estadio de la Revolucion,1,Triple-A,2011,447,Vaqueros de la Laguna,11
2807,4.065953840939264,1.068096255409184,144,122,167,121,111,134,McCormick Field,1,Class A,2011,573,Asheville Tourists,14
2527,4.250763222265237,1.105382630661165,144,122,166,122,111,133,Parque Foro Sol,2,Triple-A,2014,532,Diablos Rojos del Mexico,11
2527,4.365003363266696,1.0979560958344643,144,122,166,123,111,133,Parque Foro Sol,4,Triple-A,2014,532,Diablos Rojos del Mexico,11
2799,3.8735724853538347,0.3647567648184914,144,122,152,136,118,126,The Hangar,3,Class A Advanced,2015,491,Lancaster JetHawks,13
2683,4.359546379004025,1.587800460863098,143,122,175,112,106,137,Isotopes Park,2,Triple-A,2011,342,Albuquerque Isotopes,11
2527,4.275488222311557,0.49530964475470357,143,121,153,133,117,126,Parque Foro Sol,2,Triple-A,2012,532,Diablos Rojos del Mexico,11
2799,3.902064072363686,0.4214176243320951,143,121,152,134,117,126,The Hangar,1,Class A Advanced,2013,491,Lancaster JetHawks,13
2859,3.753249481670344,0.47788356456798525,143,122,154,133,116,127,Volcanoes Stadium,3,Class A Short Season,2018,578,Salem-Keizer Volcanoes,15
2956,4.214097530223653,0.522177685191821,142,121,153,132,116,126,Estadio de la Revolucion,2,Triple-A,2012,447,Vaqueros de la Laguna,11
2869,4.037248786743876,1.6300324184007218,142,121,175,109,104,138,Estadio Hermanos Serdan,1,Triple-A,2013,520,Pericos de Puebla,11
2527,4.149900930494716,1.2087492086470912,142,121,166,118,109,133,Parque Foro Sol,4,Triple-A,2013,532,Diablos Rojos del Mexico,11
2527,4.127686994603034,1.0466975300077153,142,121,163,121,111,131,Parque Foro Sol,5,Triple-A,2014,532,Diablos Rojos del Mexico,11
4970,3.7385379467225492,0.5752074256494578,142,121,155,129,115,127,Estadio de Beisbol 'Fray Nano',1,Triple-A,2016,532,Diablos Rojos del Mexico,11
2859,3.6301708579397114,1.3939937163419607,142,121,174,110,105,137,Volcanoes Stadium,2,Class A Short Season,2017,578,Salem-Keizer Volcanoes,15
4209,3.669612138880497,1.5628515117380275,142,121,177,107,103,138,Baseball Park,2,Winter League,2017,4068,Perth Heat,17
2527,4.075091322801389,0.48884183880268983,141,120,150,131,116,125,Parque Foro Sol,2,Triple-A,2011,532,Diablos Rojos del Mexico,11
2683,4.085697748851865,0.44722576504429906,141,121,150,132,116,125,Isotopes Park,3,Triple-A,2012,342,Albuquerque Isotopes,11
2527,3.9960444398607637,0.45921883816687364,141,121,151,132,116,125,Parque Foro Sol,2,Triple-A,2013,532,Diablos Rojos del Mexico,11
2527,3.993916288204721,1.1143698439810668,141,121,164,119,109,132,Parque Foro Sol,3,Triple-A,2014,532,Diablos Rojos del Mexico,11
2799,3.689845835911349,0.3487550734724675,140,120,148,133,116,124,Clear Channel Stadium,2,Class A Advanced,2011,491,Lancaster JetHawks,13
2799,3.6164500106916955,0.4169706125044165,140,120,149,131,115,125,The Hangar,2,Class A Advanced,2014,491,Lancaster JetHawks,13
2929,3.730218956274801,1.222864080164346,140,120,165,114,107,133,Estadio Alberto Romo Chavez,2,Triple-A,2015,528,Rieleros de Aguascalientes,11
4212,3.433405777871187,0.677184914296426,140,120,155,124,112,128,Narrabundah Ballpark,2,Winter League,2016,4066,Canberra Cavalry,17
2929,3.7113125263709343,0.4267959973970067,140,120,149,131,115,124,Estadio Alberto Romo Chavez,3,Triple-A,2016,528,Rieleros de Aguascalientes,11
2929,3.7238345261250307,0.3654065671486127,140,120,147,132,116,124,Estadio Alberto Romo Chavez,4,Triple-A,2016,528,Rieleros de Aguascalientes,11
2929,3.7627498423943515,1.1152628213030125,140,120,163,117,108,132,Estadio Alberto Romo Chavez,5,Triple-A,2016,528,Rieleros de Aguascalientes,11
5375,3.463937128947197,0.7597728402438717,140,120,157,123,111,128,Geelong Baseball Centre,2,Winter League,2019,5404,Geelong-Korea,17
2859,3.45148461800376,0.43099209943218997,140,120,150,130,115,125,Volcanoes Stadium,4,Class A Short Season,2019,578,Salem-Keizer Volcanoes,15
2527,3.894623489427246,0.461380549881278,139,120,148,130,115,124,Parque Foro Sol,3,Triple-A,2012,532,Diablos Rojos del Mexico,11
2799,3.564569098090788,0.2972918998633724,139,119,145,132,116,123,Clear Channel Stadium,3,Class A Advanced,2012,491,Lancaster JetHawks,13
2799,3.358577672395795,0.40358604633265904,139,120,148,130,115,124,The Hangar,2,Class A Advanced,2015,491,Lancaster JetHawks,13
2929,3.7165993628385907,0.4230542268974942,139,120,148,130,115,124,Estadio Alberto Romo Chavez,3,Triple-A,2015,528,Rieleros de Aguascalientes,11
2929,3.7341454835464667,0.38813615090720877,139,120,147,131,116,124,Estadio Alberto Romo Chavez,4,Triple-A,2015,528,Rieleros de Aguascalientes,11
2503,3.438904568058898,1.396571338486268,139,119,169,108,104,135,Cashman Field,1,Triple-A,2016,400,Las Vegas 51s,11
2929,3.451844194823929,1.377242252489512,139,119,169,108,104,134,Estadio Alberto Romo Chavez,1,Triple-A,2016,528,Rieleros de Aguascalientes,11
2929,3.5238594906255214,1.2234507227142768,139,120,166,112,106,133,Estadio Alberto Romo Chavez,2,Triple-A,2016,528,Rieleros de Aguascalientes,11
4970,3.5310529314573356,0.4248354865878534,139,120,148,130,115,124,Estadio de Beisbol 'Fray Nano',2,Triple-A,2016,532,Diablos Rojos del Mexico,11
5321,3.7143996910652275,0.6682266465428122,139,120,153,125,113,126,Estadio Francisco Villa,1,Triple-A,2017,4444,Generales de Durango,11
2799,3.4139886101131047,0.5530856015898971,139,119,151,126,113,125,The Hangar,1,Class A Advanced,2018,491,Lancaster JetHawks,13
2859,3.370713304998724,1.2405750463184115,139,119,167,111,105,133,Volcanoes Stadium,2,Class A Short Season,2018,578,Salem-Keizer Volcanoes,15
4209,3.5346979810697623,0.5980848482372852,139,119,152,126,113,126,Perth Harley-Davidson Ballpark,2,Winter League,2018,4068,Perth Heat,17
5415,3.1498506971735787,0.5163952251646681,139,119,151,126,113,126,Hodgetown,1,Double-A,2019,5368,Amarillo Sod Poodles,12
2683,3.917659211869056,1.7190523675606002,138,119,172,105,103,136,Isotopes Park,1,Triple-A,2011,342,Albuquerque Isotopes,11
2799,3.5030825802824364,0.45179619381512015,138,119,147,128,114,124,Clear Channel Stadium,1,Class A Advanced,2011,491,Lancaster JetHawks,13
